method,severity,coverage_mean,coverage_std,set_size_mean,set_size_std,worst_class_mean,worst_class_std,cost_ms_mean,p_coverage_vs_split,p_worst_class_vs_split
Split CP,0.0,0.9077,0.0132,0.947,0.036,0.8767,0.0247,0.2102,,
Weighted CP,0.0,0.9065,0.014,0.9453,0.0343,0.876,0.0256,0.2347,0.1347,0.3739
Classwise CP,0.0,0.9077,0.0124,0.9712,0.0661,0.8873,0.0157,0.4377,1.0,0.4121
ACI,0.0,0.9013,0.0015,0.9217,0.0244,0.8867,0.0056,12.1189,0.4183,0.4554
Split CP,0.2,0.795,0.1077,0.9985,0.104,0.494,0.3653,0.1265,,
Weighted CP,0.2,0.7918,0.1061,0.9952,0.1039,0.4867,0.3636,0.1009,0.5955,0.5848
Classwise CP,0.2,0.7922,0.1021,1.0053,0.0981,0.4353,0.3759,0.3671,0.849,0.355
ACI,0.2,0.899,0.0006,1.3008,0.2578,0.854,0.0507,10.5699,0.126,0.0862
Split CP,0.4,0.7255,0.0813,1.0515,0.1917,0.1467,0.2933,0.1142,,
Weighted CP,0.4,0.7233,0.08,1.0443,0.1858,0.1433,0.2867,0.0807,0.617,0.3739
Classwise CP,0.4,0.7417,0.0926,1.0845,0.2095,0.1807,0.3613,0.321,0.0756,0.3739
ACI,0.4,0.7868,0.0596,1.7163,0.1989,0.204,0.3446,10.8654,0.0056,0.1271
Split CP,0.6,0.6313,0.0823,1.4715,0.2108,0.0007,0.0013,0.1019,,
Weighted CP,0.6,0.6287,0.0925,1.4675,0.23,0.0007,0.0013,0.0795,0.6628,
Classwise CP,0.6,0.6413,0.0741,1.5188,0.2177,0.002,0.004,0.3092,0.3896,0.3739
ACI,0.6,0.7897,0.0596,2.1178,0.1481,0.2267,0.3286,10.5128,0.0109,0.2395
Split CP,0.8,0.3603,0.1008,1.2665,0.1687,0.0,0.0,0.1193,,
Weighted CP,0.8,0.3623,0.0983,1.2792,0.1794,0.0,0.0,0.0934,0.4744,
Classwise CP,0.8,0.3685,0.0959,1.3015,0.1857,0.0,0.0,0.4141,0.1046,
ACI,0.8,0.6428,0.1428,2.0568,0.3187,0.2327,0.3327,12.5148,0.0544,0.2345
Split CP,1.0,0.3142,0.1208,1.0938,0.1882,0.0,0.0,0.1425,,
Weighted CP,1.0,0.3143,0.1212,1.0957,0.1953,0.0,0.0,0.0961,0.8835,
Classwise CP,1.0,0.3187,0.1203,1.1203,0.1993,0.0,0.0,0.3925,0.0857,
ACI,1.0,0.4605,0.1336,1.6898,0.2629,0.0027,0.0053,11.9215,0.1426,0.3739
