method,severity,coverage,set_size,worst_class,ssc,cost_ms
ACI,0.0,0.901,0.922,0.887,0.0,12.119
ACI,0.2,0.899,1.301,0.854,0.0,10.57
ACI,0.4,0.787,1.716,0.204,0.394,10.865
ACI,0.6,0.79,2.118,0.227,0.463,10.513
ACI,0.8,0.643,2.057,0.233,0.51,12.515
ACI,1.0,0.46,1.69,0.003,0.275,11.922
Classwise CP,0.0,0.908,0.971,0.887,0.0,0.438
Classwise CP,0.2,0.792,1.005,0.435,0.0,0.367
Classwise CP,0.4,0.742,1.084,0.181,0.0,0.321
Classwise CP,0.6,0.641,1.519,0.002,0.0,0.309
Classwise CP,0.8,0.368,1.302,0.0,0.0,0.414
Classwise CP,1.0,0.319,1.12,0.0,0.0,0.392
Split CP,0.0,0.908,0.947,0.877,0.0,0.21
Split CP,0.2,0.795,0.998,0.494,0.0,0.126
Split CP,0.4,0.726,1.052,0.147,0.0,0.114
Split CP,0.6,0.631,1.472,0.001,0.0,0.102
Split CP,0.8,0.36,1.267,0.0,0.0,0.119
Split CP,1.0,0.314,1.094,0.0,0.0,0.143
Weighted CP,0.0,0.906,0.945,0.876,0.0,0.235
Weighted CP,0.2,0.792,0.995,0.487,0.0,0.101
Weighted CP,0.4,0.723,1.044,0.143,0.0,0.081
Weighted CP,0.6,0.629,1.468,0.001,0.0,0.079
Weighted CP,0.8,0.362,1.279,0.0,0.0,0.093
Weighted CP,1.0,0.314,1.096,0.0,0.0,0.096
