method,severity,coverage_mean,coverage_std,set_size_mean,set_size_std,worst_class_mean,worst_class_std,cost_ms_mean,p_coverage_vs_split,p_worst_class_vs_split
Split CP,0.0,0.9103,0.0111,0.9502,0.0403,0.88,0.0208,0.1474,,
Weighted CP,0.0,0.9098,0.0111,0.9493,0.0406,0.8793,0.0212,0.104,0.208,0.3739
Classwise CP,0.0,0.9117,0.0086,0.9773,0.073,0.892,0.0075,0.3469,0.7494,0.3239
ACI,0.0,0.901,0.0022,0.9237,0.0317,0.89,0.0052,12.2914,0.2237,0.4282
Split CP,0.2,0.9007,0.0113,0.953,0.0668,0.8661,0.0323,0.1349,,
Weighted CP,0.2,0.8983,0.0159,0.9472,0.05,0.8622,0.0408,0.1067,0.6221,0.5348
Classwise CP,0.2,0.9023,0.0112,0.9865,0.1088,0.8757,0.0078,0.3972,0.207,0.5618
ACI,0.2,0.9003,0.002,0.9286,0.0435,0.8886,0.0089,15.2646,0.9476,0.2501
Split CP,0.4,0.9076,0.0184,0.968,0.1049,0.8661,0.0343,0.1187,,
Weighted CP,0.4,0.9042,0.0159,0.9545,0.0682,0.8636,0.0407,0.0925,0.6658,0.7071
Classwise CP,0.4,0.909,0.0182,1.0036,0.1445,0.8745,0.0294,0.4001,0.794,0.5604
ACI,0.4,0.9005,0.0016,0.9262,0.0432,0.8891,0.0033,16.5564,0.4644,0.2373
Split CP,0.6,0.912,0.022,0.9759,0.1244,0.8816,0.0185,0.1362,,
Weighted CP,0.6,0.9081,0.011,0.9557,0.0693,0.875,0.0339,0.1057,0.7078,0.6546
Classwise CP,0.6,0.9137,0.0125,1.0187,0.1754,0.8863,0.0042,0.3915,0.8307,0.5574
ACI,0.6,0.9003,0.0015,0.9294,0.0508,0.8873,0.0065,18.2743,0.3254,0.4353
Split CP,0.8,0.9053,0.0237,0.9768,0.1413,0.8714,0.0284,0.117,,
Weighted CP,0.8,0.9006,0.0123,0.9477,0.07,0.8642,0.048,0.4154,0.6527,0.5813
Classwise CP,0.8,0.9081,0.0141,1.0228,0.1968,0.8887,0.015,0.4104,0.7369,0.1116
ACI,0.8,0.9007,0.0017,0.9297,0.0506,0.8885,0.0083,20.4752,0.6995,0.3066
Split CP,1.0,0.903,0.0284,0.9803,0.1629,0.8611,0.0228,0.1402,,
Weighted CP,1.0,0.8973,0.0134,0.9419,0.0703,0.8501,0.0602,0.101,0.6926,0.6393
Classwise CP,1.0,0.9074,0.0145,1.0277,0.2179,0.8874,0.0151,0.415,0.6878,0.0568
ACI,1.0,0.9002,0.0012,0.9314,0.0557,0.8872,0.0087,23.0906,0.8483,0.0457
