method,severity,coverage,set_size,worst_class,ssc,cost_ms
ACI,0.0,0.901,0.924,0.89,0.0,12.291
ACI,0.2,0.9,0.929,0.889,0.0,15.265
ACI,0.4,0.9,0.926,0.889,0.0,16.556
ACI,0.6,0.9,0.929,0.887,0.0,18.274
ACI,0.8,0.901,0.93,0.889,0.0,20.475
ACI,1.0,0.9,0.931,0.887,0.0,23.091
Classwise CP,0.0,0.912,0.977,0.892,0.0,0.347
Classwise CP,0.2,0.902,0.986,0.876,0.0,0.397
Classwise CP,0.4,0.909,1.004,0.875,0.0,0.4
Classwise CP,0.6,0.914,1.019,0.886,0.0,0.391
Classwise CP,0.8,0.908,1.023,0.889,0.0,0.41
Classwise CP,1.0,0.907,1.028,0.887,0.0,0.415
Split CP,0.0,0.91,0.95,0.88,0.0,0.147
Split CP,0.2,0.901,0.953,0.866,0.0,0.135
Split CP,0.4,0.908,0.968,0.866,0.0,0.119
Split CP,0.6,0.912,0.976,0.882,0.0,0.136
Split CP,0.8,0.905,0.977,0.871,0.0,0.117
Split CP,1.0,0.903,0.98,0.861,0.0,0.14
Weighted CP,0.0,0.91,0.949,0.879,0.0,0.104
Weighted CP,0.2,0.898,0.947,0.862,0.0,0.107
Weighted CP,0.4,0.904,0.954,0.864,0.0,0.093
Weighted CP,0.6,0.908,0.956,0.875,0.0,0.106
Weighted CP,0.8,0.901,0.948,0.864,0.0,0.415
Weighted CP,1.0,0.897,0.942,0.85,0.0,0.101
